Producto, Slots ,,Producto, Slots ,,Producto, Slots ,,Producto, Slots ,,Producto, Slots ,,Producto, Slots ,,Producto, Slots ,,Producto, Slots ,,Producto, Slots ,,Producto, Slots ,,Producto, Slots ,,Producto, Slots ,,Producto, Slots 
aceite,1,,azúcar,4,,bistec_de_diezmillo_de_res,4,,arroz,1,,ajonjolí,2,,chocolate_en_tablillas,3,,poroto,1,,almeja,1,,acelga,3,,huevo,5,,chorizo,4,,acondicionador_/_enjuague,3,,acondicionador_de_telas,1
aceite_de_oliva,1,,café_soluble,1,,bistec_de_espaldilla_de_res,3,,avena,4,,canela,5,,colación,1,,garbanzo,5,,atún,2,,palta,4,,crema,3,,jamón,3,,champú,4,,barra_limpiadora,3
grasa_comestible,3,,café_tostado_y_molido,1,,chuleta_de_res,1,,cereal_mixto,3,,chilorio,5,,flan,4,,haba,4,,bacalao,4,,ajo,1,,crema_batida,5,,jamon_de_pavo,5,,champú_para_bebés,4,,blanqueador,3
manteca,2,,jarabe_p/preparar_bebidas,2,,falda_de_res,4,,harina_de_arroz,4,,clavo,1,,gelatina_en_polvo,4,,lenteja,4,,blanco_nilo,1,,alcachofa,3,,mantequilla,5,,longaniza,3,,crema_dental,4,,detergente_ropa,1
manteca_de_cerdo,2,,miel_de_abeja,4,,filete_de_res,3,,,,,cochinita_pibil,1,,manjarate,1,,galletas,2,,boquerón,4,,alcaparra,2,,queso_mantecosi,3,,mortadela,1,,crema_líquida,1,,detergente_ropa_líquido,4
margarina,4,,bebida_energética,2,,hígado_de_res,1,,,,,concentrado_de_pollo,4,,polvo_bebida_sabor_chocolate,1,,galletas_dulces,4,,calamar,2,,almendras,3,,queso_gauda,5,,pastel_pimiento,2,,crema_sólida,3,,detergente_ropa_polvo,2
margarina_light,4,,polvo_p/preparar_bebidas,2,,milanesa_de_res,5,,,,,condimento_de_achiote,3,,chandell,4,,galletas_populares,1,,callo_de_hacha,3,,apio,1,,queso_blanco,5,,paté,1,,desodorante,3,,detergente_trastes,1
agua_con_gas,5,,té,1,,panza_de_res,5,,,,,hojas_de_perejil,2,,postre_estilo_flan,3,,harina_de_trigo,5,,camarón,2,,avellana,3,,yoghurt,3,,queso_de_puerco,5,,jabon_de_tocador,2,,insecticida_aerosol,2
agua_sin_gas,5,,,,,res,3,,,,,mayonesa,5,,praline,5,,harina_hot_cakes,4,,carpa,5,,betarraga,3,,leche_condensada,3,,salami,1,,pañales_desechables,3,,jabón_de_pasta,1
bebida_hidratante,5,,,,,retazo_hueso_de_res,4,,,,,mole_rojo_en_pasta,4,,torta_imperial,3,,pan_de_caja,5,,cazón,4,,brócoli,1,,leche_en_polvo,5,,salchicha,5,,papel_higiénico,2,,jabón_limpiador,2
