	Aceites_y_grasas	Bebidas	Cafe_endulzantes_y_saborizantes	Carnes	Cereales	Condimentos_y_aderezos	Dulces_y_golosinas	Legumbres_secas	Pan_y_derivados_del_trigo	Pescados_y_mariscos	Frutas_y_verduras	Lacteos_y_huevo	Fiambreria	Cuidado_personal	Limpieza_del_hogar
Aceites_y_grasas	1	-0.00231980454993874	0.00341892561800658	0.0274880695380646	-0.00631252440571922	-0.00806450553384025	0.00178172019557778	-0.00174981805478969	0.00531648031775851	-0.0280757462274319	-0.0361217191921602	0.0187013236136637	0.0517662827257221	-0.00377046082833804	-0.00190693204884407
Bebidas	-0.00231980454993874	1	0.00853888719000227	0.00922024747012868	0.013603261312141	0.013613651790912	0.0124851654370684	-0.00173974556503264	0.0091483123259579	-0.0283881417584063	-0.00143157250948606	-0.0192203461993468	0.00675468725853139	-0.0217426944652182	-0.0108760805175582
Cafe_endulzantes_y_saborizantes	0.00341892561800658	0.00853888719000227	1	0.0160933776131058	0.00802635377289843	0.0117644656346158	-0.0116895729382192	-0.0146030854592224	-0.000768360925126895	0.00503324890648869	-0.00741148940617214	0.0119516084117083	-0.00635712019296002	-0.0162728075482953	0.019772877221959
Carnes	0.0274880695380646	0.00922024747012868	0.0160933776131058	1	0.0106182545649247	0.00184128275117221	-0.00442401699255829	0.060904189830364	0.00882862379471611	0.0473776305184588	0.0653370629317623	0.0195693399039045	-0.0102708385879645	0.0276271379230217	0.00935505756104857
Cereales	-0.00631252440571922	0.013603261312141	0.00802635377289843	0.0106182545649247	1	0.0706561398456739	0.000424287285952022	-0.00273133878959606	0.00290387172436669	0.00408057533426477	0.007735364332039	-0.0113703404584169	-0.00475888430926182	-0.0149464503591645	-0.000131011639859912
Condimentos_y_aderezos	-0.00806450553384025	0.013613651790912	0.0117644656346158	0.00184128275117221	0.0706561398456739	1	0.0904361134897877	0.005608169596551	0.000861065801774269	0.0213398372909728	0.00238005116212481	-0.0059929289630139	-0.00911792630268871	0.00215031521167868	-0.0346266597099472
Dulces_y_golosinas	0.00178172019557778	0.0124851654370684	-0.0116895729382192	-0.00442401699255829	0.000424287285952022	0.0904361134897877	1	0.0114096248068878	-0.0126137818716472	0.00344913181119829	0.0106519888012691	0.0158353880627866	0.00459455224276055	-0.000110912532305227	-0.0108170479677069
Legumbres_secas	-0.00174981805478969	-0.00173974556503264	-0.0146030854592224	0.060904189830364	-0.00273133878959606	0.005608169596551	0.0114096248068878	1	0.0115530383408951	0.133910772170629	0.115234389513772	0.00248461023294086	0.00686498763889379	-0.00228504942141012	-0.0218612437322178
Pan_y_derivados_del_trigo	0.00531648031775851	0.0091483123259579	-0.000768360925126895	0.00882862379471611	0.00290387172436669	0.000861065801774269	-0.0126137818716472	0.0115530383408951	1	-0.00784046706531681	0.0192866888723298	0.014404995103655	0.0152986686250315	-0.00780519081917579	-0.0111005938480492
Pescados_y_mariscos	-0.0280757462274319	-0.0283881417584063	0.00503324890648869	0.0473776305184588	0.00408057533426477	0.0213398372909728	0.00344913181119829	0.133910772170629	-0.00784046706531681	1	0.230046230662744	-0.0106944209572868	-0.0131061675782686	0.0222251170347206	0.0087808199543802
Frutas_y_verduras	-0.0361217191921602	-0.00143157250948606	-0.00741148940617214	0.0653370629317623	0.007735364332039	0.00238005116212481	0.0106519888012691	0.115234389513772	0.0192866888723298	0.230046230662744	1	-0.0273784117045951	-0.0162015268046485	0.0291994796474749	0.00422654291035632
Lacteos_y_huevo	0.0187013236136637	-0.0192203461993468	0.0119516084117083	0.0195693399039045	-0.0113703404584169	-0.0059929289630139	0.0158353880627866	0.00248461023294086	0.014404995103655	-0.0106944209572868	-0.0273784117045951	1	-0.00266074276197319	-0.00837394985686125	-0.0169402701258469
Fiambreria	0.0517662827257221	0.00675468725853139	-0.00635712019296002	-0.0102708385879645	-0.00475888430926182	-0.00911792630268871	0.00459455224276055	0.00686498763889379	0.0152986686250315	-0.0131061675782686	-0.0162015268046485	-0.00266074276197319	1	0.0111328129595507	0.00670329308666302
Cuidado_personal	-0.00377046082833804	-0.0217426944652182	-0.0162728075482953	0.0276271379230217	-0.0149464503591645	0.00215031521167868	-0.000110912532305227	-0.00228504942141012	-0.00780519081917579	0.0222251170347206	0.0291994796474749	-0.00837394985686125	0.0111328129	1	0.005051339
Limpieza_del_hogar	-0.00190693204884407	-0.0108760805175582	0.019772877221959	0.00935505756104857	-0.000131011639859912	-0.0346266597099472	-0.0108170479677069	-0.0218612437322178	-0.0111005938480492	0.0087808199543802	0.00422654291035632	-0.0169402701258469	0.0067032930866	0.005051339	1
